cluster,category,exist
4, belles_lettres,34
4, learned,23
4, lore,14
4, religion,12
4, reviews,4
4, hobbies,3
4, science_fiction,3
4, editorial,2
4, government,2
3, belles_lettres,27
3, news,24
3, lore,18
3, reviews,12
3, editorial,7
3, hobbies,7
3, learned,5
3, humor,4
3, government,2
3, romance,2
3, fiction,1
3, mystery,1
3, religion,1
2, learned,33
2, hobbies,10
2, government,3
2, lore,2
2, belles_lettres,1
2, reviews,1
1, adventure,29
1, fiction,28
1, romance,27
1, mystery,23
1, lore,7
1, belles_lettres,6
1, hobbies,5
1, humor,5
1, editorial,3
1, science_fiction,3
1, religion,2
0, government,23
0, news,20
0, learned,19
0, editorial,15
0, hobbies,11
0, belles_lettres,7
0, lore,7
0, religion,2
