cluster,category,exist
14, news,7
14, hobbies,2
14, lore,1
13, adventure,18
13, fiction,11
13, mystery,6
13, romance,4
13, belles_lettres,2
13, lore,2
12, editorial,20
12, news,11
12, belles_lettres,8
12, government,5
12, learned,3
12, lore,3
11, learned,14
11, government,3
11, hobbies,2
11, belles_lettres,1
11, lore,1
11, news,1
10, belles_lettres,17
10, religion,8
10, learned,6
10, hobbies,3
10, reviews,2
10, lore,1
9, learned,14
9, hobbies,2
9, reviews,1
8, belles_lettres,15
8, learned,13
8, lore,7
8, religion,3
7, hobbies,5
7, lore,4
7, learned,1
6, learned,6
6, belles_lettres,5
6, government,5
6, lore,5
6, news,3
6, religion,3
6, editorial,1
5, news,16
5, lore,10
5, belles_lettres,3
5, hobbies,3
5, learned,2
5, editorial,1
5, reviews,1
4, hobbies,14
4, learned,4
4, government,2
4, lore,2
4, belles_lettres,1
4, religion,1
3, learned,11
3, government,1
3, hobbies,1
2, romance,22
2, mystery,17
2, adventure,11
2, fiction,11
2, belles_lettres,4
2, humor,3
2, science_fiction,3
2, editorial,2
2, lore,1
2, religion,1
1, belles_lettres,19
1, reviews,13
1, lore,10
1, fiction,7
1, humor,6
1, editorial,3
1, romance,3
1, science_fiction,3
1, hobbies,2
1, news,2
1, learned,1
1, mystery,1
1, religion,1
0, government,14
0, learned,5
0, news,4
0, hobbies,2
0, lore,1
